artist,song,genre,era,url
Nickelback,Photograph,Rock,2000s,https://www.youtube.com/watch?v=T3rXdeOvhNE
Nine Inch Nails,Closer,Alternative,1990s,https://www.youtube.com/watch?v=PTFwQP86BRs
Nirvana,Smells Like Teen Spirit,Rock,1990s,https://www.youtube.com/watch?v=hTWKbfoikeg
Nirvana,Come As You Are,Rock,1990s,https://www.youtube.com/watch?v=vabnZ9-ex7o
Nirvana,Heart Shaped Box,Rock,1990s,https://www.youtube.com/watch?v=n6P0SitRwy8
Nirvana,The Man Who Sold the World,Rock,1990s,https://www.youtube.com/watch?v=fregObNcHC8
No Doubt,Don't Speak,Alternative,1990s,https://www.youtube.com/watch?v=TR3Vdo5etCQ
Oasis,Wonderwall,Rock,1990s,https://www.youtube.com/watch?v=bx1Bh8ZvH84
Oasis,Champagne Supernova,Alternative,1990s,https://www.youtube.com/watch?v=tI-5uv4wryI
Ok Go,Here It Goes Again,Alternative,2000s,https://www.youtube.com/watch?v=dTAAsCNK7RA
Olivia Rodrigo,drivers license,Pop,2020s,https://www.youtube.com/watch?v=ZmDBbnmKpqQ
OutKast,Hey Ya!,Hip-Hop,2000s,https://www.youtube.com/watch?v=PWgvGjAhvIw
OutKast,Ms. Jackson,Hip-Hop,2000s,https://www.youtube.com/watch?v=EUVo8epKwv0
Pearl Jam,Alive,Rock,1990s,https://www.youtube.com/watch?v=qM0zINtulhM
Pearl Jam,Jeremy,Rock,1990s,https://www.youtube.com/watch?v=MS91knuzoOA
Pearl Jam,Even Flow,Rock,1990s,https://www.youtube.com/watch?v=CxKWTzr-k6s
Peter Gabriel,Sledgehammer,Pop,1980s,https://www.youtube.com/watch?v=OJWJE0x7T4Q
Pixies,Where Is My Mind?,Alternative,1980s,https://www.youtube.com/watch?v=OJ62RzJkYUo
Post Malone,Congratulations,Hip-Hop,2010s,https://www.youtube.com/watch?v=SC4xMk98Pdc
Primitive Radio Gods,Standing Outside a Broken Phone Booth with Money in My Hand,Alternative,1990s,https://www.youtube.com/watch?v=4lmZL7vT5hk
Prince,When Doves Cry,Pop,1980s,https://www.youtube.com/watch?v=UG3VcCAlUgE
Prince,1999,Pop,1980s,https://www.youtube.com/watch?v=rblt2EtFfC4
Public Enemy,Fight the Power,Hip-Hop,1980s,https://www.youtube.com/watch?v=mmo3HFa2vjg
Queen,Bohemian Rhapsody,Rock,1970s,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
R.E.M.,The One I Love,Alternative,1980s,https://www.youtube.com/watch?v=j7oQEPfe-O8
R.E.M.,Losing My Religion,Alternative,1990s,https://www.youtube.com/watch?v=xwtdhWltSIg
R.E.M.,Everybody Hurts,Alternative,1990s,https://www.youtube.com/watch?v=5rOiW_xY-kc
Radiohead,Creep,Alternative,1990s,https://www.youtube.com/watch?v=XFkzRNyygfk
Rage Against the Machine,Killing in the Name,Alternative,1990s,https://www.youtube.com/watch?v=bWXazVhlyxQ
Rage Against the Machine,Bulls on Parade,Alternative,1990s,https://www.youtube.com/watch?v=3L4YrGaR8E4
Ram Jam,Black Betty,Rock,1980s,https://www.youtube.com/watch?v=I_2D8Eo15wE
Red Hot Chili Peppers,Under the Bridge,Rock,1990s,https://www.youtube.com/watch?v=GLvohMXgcBo
Red Hot Chili Peppers,Give It Away,Rock,1990s,https://www.youtube.com/watch?v=Mr_uHJPUlO8
Red Hot Chili Peppers,Otherside,Rock,1990s,https://www.youtube.com/watch?v=rn_YodiJO6k
Red Hot Chili Peppers,Californication,Rock,1990s,https://www.youtube.com/watch?v=YlUKcNNmywk
Rick Astley,Never Gonna Give You Up,Pop,1980s,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Rihanna,Umbrella,Pop,2000s,https://www.youtube.com/watch?v=CvBfHwUxHIk
Royal Blood,Figure It Out,Rock,2010s,https://www.youtube.com/watch?v=jhgVu2lsi_k
Run-D.M.C.,Walk This Way,Hip-Hop,1980s,https://www.youtube.com/watch?v=4B_UYYPb-Gk
Salt-N-Pepa,Push It,Hip-Hop,1980s,https://www.youtube.com/watch?v=vCadcBR95oU
Savage Garden,Truly Madly Deeply,Pop,1990s,https://www.youtube.com/watch?v=WQnAxOQxQIU
Semisonic,Closing Time,Alternative,1990s,https://www.youtube.com/watch?v=xGytDsqkQY8
Simply Red,If You Don't Know Me by Now,Pop,1980s,https://www.youtube.com/watch?v=yG07WSu7Q9w
Smashing Pumpkins,1979,Rock,1990s,https://www.youtube.com/watch?v=4aeETEoNfOg
Smashing Pumpkins,Today,Rock,1990s,https://www.youtube.com/watch?v=xmUZ6nCFNoU
Smashing Pumpkins,Tonight Tonight,Rock,1990s,https://www.youtube.com/watch?v=NOG3eus4ZSo
Snoop Dogg,Gin and Juice,Hip-Hop,1990s,https://www.youtube.com/watch?v=fWCZse1iwE0
Soundgarden,Black Hole Sun,Rock,1990s,https://www.youtube.com/watch?v=3mbBbFH9fAg
Stone Temple Pilots,Interstate Love Song,Rock,1990s,https://www.youtube.com/watch?v=yjJL9DGU7Gg
Stone Temple Pilots,Plush,Rock,1990s,https://www.youtube.com/watch?v=V5UOC0C0x8Q
Stone Temple Pilots,Vasoline,Rock,1990s,https://www.youtube.com/watch?v=ht672-wYelc
Sublime,Santeria,Alternative,1990s,https://www.youtube.com/watch?v=AEYN5w4T_aM
Survivor,Eye of the Tiger,Rock,1980s,https://www.youtube.com/watch?v=btPJPFnesV4
SZA,Kill Bill,Pop,2020s,https://www.youtube.com/watch?v=MSRcC626prw
